bonsut2_0_code,coicop2018_code
C_Wheat,01.1.1
C_Ricey,01.1.1
C_Sorgm,01.1.1.1.3
C_Barly,01.1.1
C_Ryee,01.1.1.1
C_Oatss,01.1.1
C_Millt,01.1.1.1
C_Trite,01.1.1
C_Buckt,01.1.1
C_Fonio,01.1.1
C_Quina,01.1.1
C_Canad,01.1.1
C_Graid,01.1.1
C_Ceres,01.1.1
C_Aspas,01.1.7
C_Cabbs,01.1.7
C_Cauli,01.1.7
C_Letty,01.1.7
C_Spinh,01.1.7
C_Artis,01.1.7
C_Wates,01.1.6
C_Melon,01.1.6
C_Chiln,01.1.7
C_Cucus,01.1.7
C_Eggpl,01.1.7
C_Tomas,01.1.7
C_Pumps,01.1.7
C_Okraa,01.1.7
C_Stris,01.1.7
C_Beann,01.1.7
C_Peasn,01.1.7
C_Vegleg_nes,01.1.7
C_Carrs,01.1.7
C_Garlc,01.1.7
C_Onion,01.1.7
C_Onioy,01.1.7
C_Leeks,01.1.7
C_Roots,01.1.7
C_Mushs,01.1.7
C_Maizn,01.1.1.1
C_oVege_fresh,01.1.7
C_Avocs,01.1.6
C_Banas,01.1.6
C_Plans,01.1.7.5
C_Dates,01.1.6
C_Figss,01.1.6
C_Mangs,01.1.6
C_Papas,01.1.6
C_Pines,01.1.6
C_frtrop_nes,01.1.6
C_Grapf,01.1.6
C_Lemos,01.1.6
C_Orans,01.1.6
C_Tmand,01.1.6
C_oFru_cit,01.1.6
C_Graps,01.1.6
C_Appls,01.1.6
C_Pears,01.1.6
C_Quins,01.1.6
C_Apris,01.1.6
C_Chers,01.1.6
C_Cherr,01.1.6
C_Peacs,01.1.6
C_Plums,01.1.6
C_oFru_pom,01.1.6
C_oFru_ston,01.1.6
C_Currs,01.1.6
C_Gooss,01.1.6
C_Kiwi,01.1.6
C_Rasps,01.1.6
C_Stras,01.1.6
C_Blues,01.1.6
C_Crans,01.1.6
C_Berrs,01.1.6
C_Caros,01.1.6.5 
C_Perss,01.1.6
C_Cashe,01.1.6
C_oFru_fresh,01.1.6
C_Almol,01.1.6
C_Cashl,01.1.6
C_Chest,01.1.6
C_Hazel,01.1.6
C_Pists,01.1.6
C_Walnl,01.1.6
C_Brazl,01.1.6
C_Arecs,01.1.6
C_Kola,01.1.6
C_Nutss,01.1.6
C_Soybs,01.1.7
C_Groul,01.1.6
C_Linsd,01.1.1
C_Mustd,01.1.6
C_Raped,01.1.6
C_Sesad,01.1.6
C_Sunfd,01.1.6
C_Saffd,01.1.6
C_Poppd,01.1.1
C_Melonse,01.1.1
C_Oilss,01.1.1
C_Castd,01.1.6
C_Olivs,01.1.7
C_Cocon,01.1.6
C_palm,01.1.1
C_Kari,01.1.6
C_Tung_nuts,01.1.6
C_Jojod,01.1.1
C_Talld,01.1.9.4
C_Kapod,01.1.9.4
C_Potas,01.1.7
C_Cassa,01.1.7
C_Cassd,01.1.7
C_Swees,01.1.7
C_Yams,01.1.7
C_Taro,01.1.7
C_Yautia,01.1.7
C_Coffn,01.2.2
C_Teaa,01.2.3
C_Mate,01.2.3
C_Cocoa,01.1.8.5
C_Pepp,01.1.9
C_Nutms,01.1.9
C_Anisr,01.1.9
C_Cinn,01.1.9
C_Clovs,01.1.9
C_Gingr,01.1.9
C_Vania,01.1.9
C_Hops,01.1.7.1.9
C_Chics,01.1.7
C_Spics,01.1.7
C_Beany,01.1.7
C_Broay,01.1.7
C_Chick,01.1.7
C_Lents,01.1.7
C_Peasy,01.1.7
C_Cowpea,01.1.7
C_Piges,01.1.7
C_Bambs,01.1.7
C_Vetcs,01.1.7
C_Lupis,01.1.7
C_Pulss,01.1.7
C_Sugat,01.1.8.1
C_Sugae,01.1.6
C_Sugacrs,01.1.8.2
C_Maize,01.1.1
C_Cotton,03.1.1
C_Jute,05.2.1
C_Bastr,05.2.1.9 
C_Ramie,05.2.1.9 
C_Sisal,05.2.1.9 
C_Agavs,05.2.1.9 
C_Manila,05.2.1.9 
C_oFibrs,05.2.1.9 
C_Peppt,01.2.3
C_Pyred,01.2.1
C_Rubber,03.1.2
C_Tobac,02.3.0.9
C_Horses,01.1.2
C_Asses,01.1.2
C_Catmilk,01.1.4
C_Bufmilk,01.1.4
C_Shemilk,01.1.4
C_Cammilk,01.1.4
C_Eggsl,01.1.4.8
C_Eggs_ggs,01.1.4.8
C_Snaia,01.1.3
