Flow,Description,CPC
COAL,Coal,"['11010: Hard coal', '1101: Hard coal', '11030: Brown coal', '1103: Brown coal', '110: Coal and peat', '11: Coal and peat']"
CONSTRUCTION,Facilities construction,"['53290: Other civil engineering works', '53269: Other constructions for manufacturing', '43410: Furnace burners for liquid fuel, for pulverized solid fuel or for gas; mechanical stokers, mechanical grates, […]', '53241: Long-distance pipelines', '4951: Rail locomotives and locomotive tenders', '49533: Railway or tramway goods vans and wagons, not self-propelled', '49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]', '53262: Power plants']"
DECOMMISSION,"Decommissioning of plant, factory, facility","['39931: Pharmaceutical waste', '39363: Waste and scrap of aluminium', '39910: Municipal waste', '391: Wastes from food and tobacco industry', '39310: Slag, dross, scalings and other waste from the manufacture of iron or steel', '39332: Waste and scrap of precious metal (except gold) or of metal clad with precious metal (except gold)', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass', '33690: Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures cont[…]', '39361: Waste and scrap of copper', '39380: Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, primary ba[…]', '39260: Used pneumatic tyres of rubber', '39950: Wastes from chemical or allied industries', '39240: Waste and scrap of paper or paperboard', '39290: Other non-metal waste or scrap', '39282: Agglomerated wood waste and scrap in forms other than pellets', '39362: Waste and scrap of nickel', '39270: Waste, parings and scrap of plastics', '39990: Other wastes n.e.c.', '39250: Waste, parings and scrap of rubber (except hard rubber) and powders and granules obtained therefrom', '3928: Sawdust and wood waste and scrap', '39283: Non-agglomerated wood waste and scrap', '39364: Waste and scrap of lead', '39365: Waste and scrap of zinc', '39366: Waste and scrap of tin']"
ELECTRICITY_EHV,Electricity extra high voltage,"['17100: Electrical energy', '1710: Electrical energy', '171: Electrical energy']"
ELECTRICITY_HV,Electricity high voltage,"['17100: Electrical energy', '1710: Electrical energy', '171: Electrical energy']"
ELECTRICITY_LV,Electricity low voltage,"['17100: Electrical energy', '1710: Electrical energy', '171: Electrical energy']"
ELECTRICITY_MV,Electricity medium voltage,"['17100: Electrical energy', '1710: Electrical energy', '171: Electrical energy']"
HEAT_HIGH_T,High temperature heat,"['17300: Steam and hot water', '1730: Steam and hot water', '173: Steam and hot water ']"
HEAT_LOW_T_DECEN,Heat low temperature decentralized,"['17300: Steam and hot water', '1730: Steam and hot water', '173: Steam and hot water ']"
HEAT_LOW_T_DHN,Heat low temperature district heating,"['17300: Steam and hot water', '1730: Steam and hot water', '173: Steam and hot water ']"
NG_EHP,Natural gas extra high pressure,"['12020: Natural gas, liquefied or in the gaseous state', '1202: Natural gas, liquefied or in the gaseous state', '120: Crude petroleum and natural gas', '12: Crude petroleum and natural gas', '69120: Gas distribution through mains (on own account)', '17200: Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons', '33360: Gas oil']"
NG_HP,Natural gas high pressure,"['12020: Natural gas, liquefied or in the gaseous state', '1202: Natural gas, liquefied or in the gaseous state', '120: Crude petroleum and natural gas', '12: Crude petroleum and natural gas', '69120: Gas distribution through mains (on own account)', '17200: Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons', '33360: Gas oil']"
NG_LP,Natural gas low pressure,"['12020: Natural gas, liquefied or in the gaseous state', '1202: Natural gas, liquefied or in the gaseous state', '120: Crude petroleum and natural gas', '12: Crude petroleum and natural gas', '69120: Gas distribution through mains (on own account)', '17200: Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons', '33360: Gas oil']"
NG_MP,Natural gas medium pressure,"['12020: Natural gas, liquefied or in the gaseous state', '1202: Natural gas, liquefied or in the gaseous state', '120: Crude petroleum and natural gas', '12: Crude petroleum and natural gas', '69120: Gas distribution through mains (on own account)', '17200: Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons', '33360: Gas oil']"
PROCESS_FUEL,Possible fuels for process activities ,"['12020: Natural gas, liquefied or in the gaseous state', '1202: Natural gas, liquefied or in the gaseous state', '12010: Petroleum oils and oils obtained from bituminous minerals, crude', '33360: Gas oil', '3336: Gas oil', '33421: Ethylene, propylene, butylene, butadiene', '33500: Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, […]', '39270: Waste, parings and scrap of plastics', '33100: Coke and semi-coke of coal, of lignite or of peat; retort carbon', '34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]', '34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.', '69120: Gas distribution through mains (on own account)', '23140: Other cereal grain products (including corn flakes)', '17200: Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons']"
RES_WIND_OFFSHORE,Wind reserve,[]
RES_WIND_ONSHORE,Wind reserve,[]
URANIUM,Uranium,"['33710: Fuel elements (cartridges), non-irradiated, for nuclear reactors']"
RES_HYDRO,Hydro reserve,[]
RES_SOLAR,Solar reserve,[]
