Name,Flow,Amount
CCGT,CO2_A,0.314
CCGT,ELECTRICITY_HV,1.0
CCGT,NG_HP,-1.587
CCGT_CC,CO2_C,0.314
CCGT_CC,CO2_E,0.09
CCGT_CC,ELECTRICITY_HV,1.0
CCGT_CC,NG_HP,-1.754
COAL,COAL,1.0
COAL_IGCC,CO2_A,0.442
COAL_IGCC,COAL,-2.065
COAL_IGCC,ELECTRICITY_HV,1.0
COAL_IGCC_CC,CO2_C,0.754
COAL_IGCC_CC,CO2_E,0.086
COAL_IGCC_CC,COAL,-2.58
COAL_IGCC_CC,ELECTRICITY_HV,1.0
HYDRO_DAM,ELECTRICITY_EHV,1.0
HYDRO_DAM,RES_HYDRO,-1.0
NG_EHP,NG_EHP,1.0
NUCLEAR,ELECTRICITY_EHV,1.0
NUCLEAR,URANIUM,-2.7
PV_GROUND,ELECTRICITY_LV,1.0
PV_GROUND,RES_SOLAR,-1.0
PV_ROOF,ELECTRICITY_LV,1.0
PV_ROOF,RES_SOLAR,-1.0
URANIUM,URANIUM,1.0
WIND_OFFSHORE,ELECTRICITY_MV,1.0
WIND_OFFSHORE,RES_WIND_OFFSHORE,-1.0
WIND_ONSHORE,ELECTRICITY_MV,1.0
WIND_ONSHORE,RES_WIND_ONSHORE,-1.0
