process_id,flow,flow_name,flow_type,direction,amount,unit,location,uncertainty_type,loc,scale,minimum,maximum

wheat_dk_001,diesel,Diesel,technosphere,input,0.05,l,DK,,,,,
wheat_dk_001,fertilizer,Fertilizer NPK,technosphere,input,0.10,kg,DK,,,,,
wheat_dk_001,electricity_low_voltage,Electricity low voltage,technosphere,input,0.20,kWh,DK,,,,,
wheat_dk_001,wheat_grain,Wheat grain,production,output,1.00,kg,,,,,,
wheat_dk_001,carbon_dioxide,Carbon dioxide,biosphere,output,0.30,kg,,,,,,

flour_mill_dk_001,wheat_grain,Wheat grain,technosphere,input,1.20,kg,DK,,,,,
flour_mill_dk_001,electricity_low_voltage,Electricity low voltage,technosphere,input,0.15,kWh,DK,,,,,
flour_mill_dk_001,water,Water,technosphere,input,0.50,l,DK,,,,,
flour_mill_dk_001,wheat_flour,Wheat flour,production,output,1.00,kg,,,,,,
flour_mill_dk_001,particulate_matter,Particulate matter,biosphere,output,0.001,kg,,,,,,

bread_bakery_dk_001,wheat_flour,Wheat flour,technosphere,input,0.80,kg,DK,,,,,
bread_bakery_dk_001,electricity_low_voltage,Electricity low voltage,technosphere,input,0.25,kWh,DK,,,,,
bread_bakery_dk_001,water,Water,technosphere,input,0.40,l,DK,,,,,
bread_bakery_dk_001,bread,Bread,production,output,1.00,kg,,,,,,
bread_bakery_dk_001,carbon_dioxide,Carbon dioxide,biosphere,output,0.05,kg,,,,,,
